# x, y positions from /odometry/wheels (rosbag2_2026_04_10-09_19_02)
# Total points: 644
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
2.677266, -5.314066
